date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000049,2000-02-18,MOD11A2,LST_Day_1km,,,,,,,,81,0,0.00
A2000057,2000-02-26,MOD11A2,LST_Day_1km,286.6000,287.8800,23260.6387,1.2800,287.1684,0.0606,0.2462,81,81,100.00
A2000065,2000-03-05,MOD11A2,LST_Day_1km,293.1400,297.3800,23836.3242,4.2400,294.2756,1.2773,1.1302,81,81,100.00
A2000073,2000-03-13,MOD11A2,LST_Day_1km,286.8400,289.3200,23352.6797,2.4800,288.3047,0.2459,0.4959,81,81,100.00
A2000081,2000-03-21,MOD11A2,LST_Day_1km,291.7600,294.5200,23760.4180,2.7600,293.3385,0.3926,0.6266,81,81,100.00
A2000089,2000-03-29,MOD11A2,LST_Day_1km,294.6800,297.5800,23999.6602,2.9000,296.2921,0.3584,0.5987,81,81,100.00
A2000097,2000-04-06,MOD11A2,LST_Day_1km,293.2000,296.0000,23864.4004,2.8000,294.6222,0.3140,0.5603,81,81,100.00
A2000105,2000-04-14,MOD11A2,LST_Day_1km,293.2600,296.3600,23893.8789,3.1000,294.9861,1.0666,1.0328,81,81,100.00
A2000113,2000-04-22,MOD11A2,LST_Day_1km,296.6400,306.5600,24526.6172,9.9200,302.7977,7.7782,2.7889,81,81,100.00
A2000121,2000-04-30,MOD11A2,LST_Day_1km,305.2600,310.8400,24936.4629,5.5800,307.8576,1.6048,1.2668,81,81,100.00
A2000129,2000-05-08,MOD11A2,LST_Day_1km,299.5400,303.6600,22926.4434,4.1200,301.6637,0.7490,0.8654,81,76,93.83
A2000137,2000-05-16,MOD11A2,LST_Day_1km,300.0200,306.4800,24566.4766,6.4600,303.2898,2.8077,1.6756,81,81,100.00
A2000145,2000-05-24,MOD11A2,LST_Day_1km,296.7600,311.7000,23732.4199,14.9400,304.2618,18.8220,4.3384,81,78,96.30
A2000153,2000-06-01,MOD11A2,LST_Day_1km,302.6600,305.7600,24638.6230,3.1000,304.1805,0.6447,0.8029,81,81,100.00
A2000161,2000-06-09,MOD11A2,LST_Day_1km,298.6200,311.3600,24303.6250,12.7400,303.7953,7.4582,2.7310,81,80,98.77
A2000169,2000-06-17,MOD11A2,LST_Day_1km,302.5800,306.1400,24674.4648,3.5600,304.6230,0.7247,0.8513,81,81,100.00
A2000177,2000-06-25,MOD11A2,LST_Day_1km,297.6800,299.8200,24213.8945,2.1400,298.9370,0.2084,0.4565,81,81,100.00
A2000185,2000-07-03,MOD11A2,LST_Day_1km,301.0800,304.2800,24503.9141,3.2000,302.5175,0.5395,0.7345,81,81,100.00
A2000193,2000-07-11,MOD11A2,LST_Day_1km,299.7200,303.7600,24495.9980,4.0400,302.4197,0.9847,0.9923,81,81,100.00
A2000201,2000-07-19,MOD11A2,LST_Day_1km,295.7200,299.1800,24120.2969,3.4600,297.7814,0.5315,0.7291,81,81,100.00
A2000209,2000-07-27,MOD11A2,LST_Day_1km,299.3800,302.4600,24388.6211,3.0800,301.0941,0.4769,0.6906,81,81,100.00
A2000217,2000-08-04,MOD11A2,LST_Day_1km,296.5000,296.9800,12467.9590,0.4800,296.8562,0.0184,0.1355,81,42,51.85
A2000225,2000-08-12,MOD11A2,LST_Day_1km,,,,,,,,81,0,0.00
A2000233,2000-08-20,MOD11A2,LST_Day_1km,300.5200,303.0200,15068.9785,2.5000,301.3796,0.2657,0.5154,81,50,61.73
A2000241,2000-08-28,MOD11A2,LST_Day_1km,302.2400,309.0800,21969.0645,6.8400,305.1259,2.2135,1.4878,81,72,88.89
A2000249,2000-09-05,MOD11A2,LST_Day_1km,300.0400,301.1800,24341.5410,1.1400,300.5128,0.0709,0.2663,81,81,100.00
A2000257,2000-09-13,MOD11A2,LST_Day_1km,299.9000,304.4200,24486.3008,4.5200,302.3000,0.9925,0.9963,81,81,100.00
A2000265,2000-09-21,MOD11A2,LST_Day_1km,295.5200,298.2400,24049.2051,2.7200,296.9038,0.3196,0.5653,81,81,100.00
A2000273,2000-09-29,MOD11A2,LST_Day_1km,295.7200,300.4800,24206.7988,4.7600,298.8494,0.6670,0.8167,81,81,100.00
A2000281,2000-10-07,MOD11A2,LST_Day_1km,292.0200,295.1200,23749.7578,3.1000,293.2069,0.3189,0.5647,81,81,100.00
A2000289,2000-10-15,MOD11A2,LST_Day_1km,298.3000,302.2200,24283.8984,3.9200,299.8012,0.5424,0.7365,81,81,100.00
A2000297,2000-10-23,MOD11A2,LST_Day_1km,294.3800,296.5800,7087.6211,2.2000,295.3175,0.2095,0.4577,81,24,29.63
A2000305,2000-10-31,MOD11A2,LST_Day_1km,286.0600,290.8200,23415.7598,4.7600,289.0835,2.5090,1.5840,81,81,100.00
A2000313,2000-11-08,MOD11A2,LST_Day_1km,276.5800,282.5000,22656.9941,5.9200,279.7160,3.7645,1.9402,81,81,100.00
A2000321,2000-11-16,MOD11A2,LST_Day_1km,276.4000,279.9000,22563.6621,3.5000,278.5637,0.4529,0.6729,81,81,100.00
A2000329,2000-11-24,MOD11A2,LST_Day_1km,281.3000,282.6200,22842.0586,1.3200,282.0007,0.1079,0.3285,81,81,100.00
A2000337,2000-12-02,MOD11A2,LST_Day_1km,268.4200,270.3800,21842.2617,1.9600,269.6576,0.1804,0.4248,81,81,100.00
A2000345,2000-12-10,MOD11A2,LST_Day_1km,253.5200,256.2200,9684.5195,2.7000,254.8558,0.4152,0.6443,81,38,46.91
A2000353,2000-12-18,MOD11A2,LST_Day_1km,252.6400,256.3800,20667.7578,3.7400,255.1575,2.3572,1.5353,81,81,100.00
A2000361,2000-12-26,MOD11A2,LST_Day_1km,258.5600,260.4000,21017.4570,1.8400,259.4748,0.1632,0.4040,81,81,100.00
A2001001,2001-01-01,MOD11A2,LST_Day_1km,271.1800,271.8600,21988.4961,0.6800,271.4629,0.0217,0.1473,81,81,100.00
A2001009,2001-01-09,MOD11A2,LST_Day_1km,260.9200,269.6400,21297.1211,8.7200,262.9274,5.3065,2.3036,81,81,100.00
A2001017,2001-01-17,MOD11A2,LST_Day_1km,267.2800,268.7600,21743.9199,1.4800,268.4435,0.0661,0.2571,81,81,100.00
A2001025,2001-01-25,MOD11A2,LST_Day_1km,262.4800,265.0800,19514.0820,2.6000,263.7038,0.5181,0.7198,81,74,91.36
